District,Beds,Nursing_Center,Pop,GDP,GDPpc,Province,Year,Lagged_Beds,Poorer
Jingde County,0.04,12,14.97,27.51,18376.75351,Anhui,2012,0.04,1
Shitai County,0.03,17,10.88,17.18,15790.44118,Anhui,2012,0.02,1
Yi County,0.02,12,9.46,20.85,22040.16913,Anhui,2012,0.02,1
Langxi County,0.09,14,34.42,84.03,24413.1319,Anhui,2012,0.08,1
Tongling County,0.05,12,29.45,102.49,34801.35823,Anhui,2012,0.05,1
Si County,0.2,18,94.41,120.08,12718.99163,Anhui,2012,0.17,1
Qingyang County,0.09,15,29.03,61.46,21171.2022,Anhui,2012,0.08,1
Jixi County,0.05,13,17.66,45.42,25719.1393,Anhui,2012,0.05,1
Jing County,0.11,14,35.61,65.1,18281.38163,Anhui,2012,0.09,1
Laian County,0.12,14,49.99,97.15,19433.88678,Anhui,2012,0.12,1
Fanchang County,0.06,13,27.79,166.62,59956.819,Anhui,2012,0.05,1
Wuhu County,0.06,8,34.71,146.59,42232.78594,Anhui,2012,0.06,1
Ningguo City,0.16,19,38.8,182.96,47154.63918,Anhui,2012,0.16,1
Qimen County,0.09,17,18.58,43.49,23406.88913,Anhui,2012,0.08,1
Jieshou City,0.19,30,78.81,100.8,12790.25504,Anhui,2012,0.17,1
Fengtai County,0.11,24,77.16,215.3,27903.05858,Anhui,2012,0.11,1
Quanjiao County,0.1,20,46.49,90.68,19505.26995,Anhui,2012,0.1,1
Nanling County,0.07,19,55.29,142.37,25749.68349,Anhui,2012,0.1,1
Huoshan County,0.13,20,36.38,118.8,32655.30511,Anhui,2012,0.12,1
Hanshan County,0.09,20,44.44,91.73,20641.31413,Anhui,2012,0.08,1
Mingguang City,0.11,30,63.56,92.48,14550.03147,Anhui,2012,0.12,1
Xiuning County,0.05,19,27.51,56.43,20512.54089,Anhui,2012,0.05,1
Guangde County,0.13,14,51.56,139.66,27086.88906,Anhui,2012,0.14,1
Jinzhai County,0.11,36,66.88,80,11961.72249,Anhui,2012,0.09,1
Susong County,0.16,24,84.13,125.19,14880.54202,Anhui,2012,0.15,1
Yuexi County,0.12,42,40.66,64.37,15831.28382,Anhui,2012,0.12,1
Wuhe County,0.16,32,73.46,128.62,17508.84835,Anhui,2012,0.15,1
Tianchang City,0.26,28,63.46,211.28,33293.41317,Anhui,2012,0.2,1
Qianshan County,0.12,18,58.84,110.72,18817.1312,Anhui,2012,0.1,1
Guzhen County,0.17,18,63.39,115.96,18293.10617,Anhui,2012,0.13,1
Wangjiang County,0.09,19,63.54,82.31,12954.0447,Anhui,2012,0.09,1
Dangshan County,0.27,26,100.46,114.82,11429.42465,Anhui,2012,0.25,1
He County,0.11,20,54.53,102.78,18848.34036,Anhui,2012,0.1,1
Suixi County,0.19,23,107.35,168.92,15735.44481,Anhui,2012,0.18,1
Taihu County,0.09,16,57.05,80.32,14078.87818,Anhui,2012,0.09,1
Dongzhi County,0.12,27,54.89,100.26,18265.62215,Anhui,2012,0.12,1
Huaining County,0.18,21,69.8,155.5,22277.93696,Anhui,2012,0.15,1
Lingbi County,0.26,35,125.8,123.8,9841.017488,Anhui,2012,0.21,1
Tongcheng City,0.18,18,75.86,196.61,25917.47957,Anhui,2012,0.18,1
Xiao County,0.21,29,142.91,163.41,11434.46925,Anhui,2012,0.19,1
Shucheng County,0.2,36,99.56,127.38,12794.2949,Anhui,2012,0.17,1
Fengyang County,0.15,31,76.56,116.63,15233.80355,Anhui,2012,0.15,1
Zongyang County,0.17,23,97.29,169.17,17388.22078,Anhui,2012,0.14,1
Dangtu County,0.11,14,65.72,214.52,32641.50943,Anhui,2012,0.14,1
Taihe County,0.4,37,175.41,138.35,7887.235619,Anhui,2012,0.38,1
She County,0.1,39,47.93,108.02,22537.03317,Anhui,2012,0.1,1
Feidong County,0.22,27,108.66,357.14,32867.66059,Anhui,2012,0.18,1
Mengcheng County,0.31,35,135.37,160.35,11845.31285,Anhui,2012,0.28,1
Guoyang County,0.28,38,161.36,177.15,10978.55726,Anhui,2012,0.25,1
Dingyuan County,0.23,24,97.87,116.63,11916.82845,Anhui,2012,0.12,1
Fu'nan County,0.3,64,172,109.47,6364.534884,Anhui,2012,0.25,1
Lujiang County,0.24,19,119.07,156.78,13167.0446,Anhui,2012,0.22,1
Huaiyuan County,0.32,39,137.9,193.43,14026.83104,Anhui,2012,0.29,1
Shou County,0.18,69,137.71,105.31,7647.229686,Anhui,2012,0.17,1
Feixi County,0.23,34,94.42,416.69,44131.53993,Anhui,2012,0.23,1
Yingshang County,0.27,76,174.79,163.08,9330.053207,Anhui,2012,0.23,1
Changfeng County,0.17,26,77.26,265.23,34329.53663,Anhui,2012,0.17,1
Lixin County,0.19,50,160.41,132.33,8249.485693,Anhui,2012,0.18,1
Linquan County,0.26,57,225.2,113.7,5048.845471,Anhui,2012,0.25,1
Wuwei County,0.24,72,142.3,305.05,21437.10471,Anhui,2012,0.24,1
Huoqiu County,0.37,100,182.68,193.39,10586.27108,Anhui,2012,0.36,1
Dangchang County,0.08,2,30.21,15.27,5054.617676,Gansu,2012,0.05,1
Wen County,0.07,2,24.09,17.37,7210.460772,Gansu,2012,0.07,1
Wudu District,0.22,1,57.63,68.1,11816.7621,Gansu,2012,0.19,1
Jingning County,0.15,1,48.89,30.35,6207.813459,Gansu,2012,0.15,1
Gaolan County,0.03,7,18.36,37.91,20648.14815,Gansu,2012,0.03,1
Gulang County,0.08,7,37.62,36.03,9577.352472,Gansu,2012,0.07,1
Min County,0.1,1,47.7,23.93,5016.771488,Gansu,2012,0.1,1
Maqu County,0.02,1,5.27,12.43,23586.33776,Gansu,2012,0.02,1
Subei Mongolia Autonomous County,0.01,1,1.17,37.62,321538.4615,Gansu,2012,0.01,1
Hezheng County,0.07,2,21.38,10.16,4752.104771,Gansu,2012,0.07,1
Kangle County,0.05,1,27.32,13.12,4802.342606,Gansu,2012,0.05,1
Lintan County,0.04,1,15.77,12.19,7729.866836,Gansu,2012,0.05,1
Akesai Kazak Autonomous County,0.01,1,3.35,11.27,33641.79104,Gansu,2012,0.01,1
"Jishishan Baoan, Dongxiang and Sala Autonomous County",0.03,1,26.19,9.98,3810.614738,Gansu,2012,0.03,1
